Situation 	Topic	Message	Message type	Values 	sub values 
waiting at stations	Arrival time	"__  just arrived, I will be there in __"	Notifying someone	"Dad, mom, the son, the daughter, my wife, my husband, my friend, my colleague, the speaker, our guest -- 5 min, 10 min, 15 min, 20 min, 25 min, 30 min, 35 min, 40 min, 45 min, 50 min, 55 min, an hour"	
waiting at stations	Arrival time	"__  is coming, I will be there in __"	Notifying someone		
in-vehicle	Arrival time	What time are you going to be at __?	Coordinating with someone	"home, work, school, dinner, lunch, breakfast, station, store, restaurant, mall, bar, church, airport"	
in-vehicle	Arrival time	What time are you supposed to be at __?	Coordinating with someone		
in-vehicle	Arrival time	What time are you going to be home for __?	Coordinating with someone	"Breakfast, lunch, dinner, ceremony"	
inside points-of-interest	Arrival time	What time are you going to be here?	Coordinating with someone		
inside points-of-interest	Arrival time	What time __ is going to be here?	Coordinating with someone	"Dad, mom, the son, the daughter, my wife, my husband, my friend, my colleague, the speaker, our guest "	
in-vehicle	Arrival time	"I will arrive to the __ at __, can you come and pick me up?"	Requesting help	"Train station, bus stop, airport, office, city, hotel, campus -- 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"	"05, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55"
in-vehicle	Arrival time	"I will arrive to the __ at __, can someone come and pick me up?"	Requesting help		
in-vehicle	Arrival time	"__ will arrive to the __ at __, can you give a ride?"	Requesting help	"Dad, mom, the son, the daughter, my wife, my husband, my friend, my colleague , the speaker, our guest -- Train station, bus stop, airport, office, city, hotel, campus -- 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"	"05, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55"
in-vehicle	Arrival time	"I will arrive to the __  in __, can you come and pick me up?"	Requesting help	"Train station, bus stop, airport, office, city, hotel, campus -- 5 min, 10 min, 15 min, 20 min, 25 min, 30 min, 35 min, 40 min, 45 min, 50 min, 55 min, an hour"	
in-vehicle	Arrival time	"I will arrive to the __ in __, can someone come and pick me up?"	Requesting help		
in-vehicle	Arrival time	"I will arrive there in __, can you come outside and guide me in?"	Requesting help	"5 min, 10 min, 15 min, 20 min, 25 min, 30 min, 35 min, 40 min, 45 min, 50 min, 55 min, an hour"	
in-vehicle	Arrival time	"__ will arrive to the __ at __, can you go outside and guide them in?"	Requesting help	"Dad, mom, the son, the daughter, my wife, my husband, my friend, my colleague , the speaker, our guest -- Train station, bus stop, airport, office, city, hotel, campus -- 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"	"05, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55"
in-vehicle	Arrival time	"I will arrive there in __, can you ask __ to come outside and guide me in?"	Requesting help	"Someone, your friend, your family "	
in-vehicle	Arrival time	"I will arrive in __, can you ask __ to come and pick me up?"	Requesting help	"5 min, 10 min, 15 min, 20 min, 25 min, 30 min, 35 min, 40 min, 45 min, 50 min, 55 min, an hour -- Someone, the son, mom, my friend, dad, the daughter, my wife, my husband "	
in-vehicle	Arrival time	"I will be home at __, do you want to go out for __?"	Scheduling plans	"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12 – breakfast, lunch, dinner, cinema, restaurant, bar, drink, coffee, brunch"	"05, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55"
in-vehicle	Arrival time	"__ will be home at __, do you want to go out for __?"	Scheduling plans	"Dad, mom, the son, the daughter, my wife, my husband, my friend, my colleague , the speaker, our guest -- 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12 – breakfast, lunch, dinner, cinema, restaurant, bar, drink, coffee, brunch"	"05, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55"
in-vehicle	Arrival time	"I will be able to get there at __, do you want to cancel our plan?"	Scheduling plans	"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"	"05, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55"
in-vehicle	Arrival time	"I will be home at __, do you want to cancel our plan?"	Scheduling plans		
walking to stations	Arrival time	"I will finish the work at __, do you want to cancel our plan?"	Scheduling plans		
walking to stations	Arrival time	"__ will be home at __, do you want to go out for __?"	Scheduling plans	"the son, mom, my friend, dad, the daughter, my wife, my husband -- 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12 -- breakfast, lunch, dinner, cinema, restaurant, bar, drink, coffee, brunch"	"05, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55"
walking to stations	Arrival time	"__ will finish the work at __, do you want to go out for __?"	Scheduling plans		
walking to stations	Arrival time	"__ will finish the work at __, do you want to cancel our plan?"	Scheduling plans	"the son, mom, my friend, dad, the daughter, my wife, my husband -- 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"	"05, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55"
walking to stations	Arrival time	"__ will be here at __, do you want to cancel our plan?"	Scheduling plans		
in-vehicle	Arrival time	"I will be home at __, do you want to reschedule our plan for __?"	Rescheduling plans	"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12 – breakfast, lunch, dinner, cinema, restaurant, bar, drink, coffee, brunch"	"05, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55"
in-vehicle	Arrival time	"I will be able to get there at __, do you want to reschedule our plan?"	Rescheduling plans	"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"	"05, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55"
in-vehicle	Arrival time	"I will be home at __, do you want to reschedule our plan?"	Rescheduling plans		
walking to stations	Arrival time	"I will finish the work at __, do you want to reschedule our plan?"	Rescheduling plans		
walking to stations	Arrival time	"__ will finish the work at __, do you want to reschedule our plan?"	Rescheduling plans	"the son, mom, my friend, dad, the daughter, my wife, my husband -- 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"	"05, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55"
in-vehicle	Arrival time	"__ will be here at __, do you want to reschedule our plan?"	Rescheduling plans		
inside points-of-interest	Arrival time	"What time are you going to arrive to the __? So, I can come and guide you in."	Offering help	"Train station, bus stop, office, city, hotel, campus, store, place, mall, restaurant, bar, building, hospital "	
inside points-of-interest	Arrival time	What time are you going to arrive to the __? I can ask my __ to come and guide you in	Offering help	"Train station, bus stop, office, city, hotel, campus, store, place, mall, restaurant, bar, building, hospital -- son, mom, friend, dad, daughter, wife, husband, colleague "	
inside points-of-interest	Arrival time	What time are you going to arrive home? I can come and pick you up	Offering help		
inside points-of-interest	Arrival time	What time are you going to arrive to the __? I can come and pick you up	Offering help	"Train station, bus stop, city, hotel, campus, airport, place, building"	
inside points-of-interest	Arrival time	What time are you going to arrive to the __? I can ask my __ to come and pick you up	Offering help	"Train station, bus stop, city, hotel, campus, airport, place, building -- son, mom, friend, dad, daughter, wife, husband, colleague "	
inside points-of-interest	Arrival time	Remember to be here at __	Reminding someone	"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"	"05, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55"
inside points-of-interest	Arrival time	Remember I am going to be there at __	Reminding someone		
inside points-of-interest	Arrival time	Remember to be at the __ at __	Reminding someone	"Train station, bus stop, office, city, hotel, campus, store, place, mall, restaurant, bar, building, hospital -- 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"	"05, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55"
inside points-of-interest	Arrival time	Remember I am going to arrive at the __ at __	Reminding someone		
inside points-of-interest	Arrival time	Remember that __ is going to arrive at __	Reminding someone	"The son, mom, my friend, dad, the daughter, my wife, my husband, my colleague, the speaker, our guest --1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"	"05, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55"
nearby points-of-interest	Signal my location	I got to the * safely 	Notifying someone		
nearby points-of-interest	Signal my location	I am at *	Notifying someone		
nearby frequently visited locations	Signal my location	I just left the house 	Notifying someone		
nearby frequently visited locations	Signal my location	I am leaving the house now 	Notifying someone		
in-vehicle	Signal my location	I am about to get off the __	Notifying someone	"Train, Bus, plane, car "	
nearby points-of-interest	Signal my location	I’m here	Notifying someone		
nearby points-of-interest	Signal my location	I am in the __ level of building 	Notifying someone	"First, second, third"	
nearby points-of-interest	Signal my location	I am near the **	Notifying someone		
nearby points-of-interest	Signal my location	I am in the parking lot 	Notifying someone		
nearby points-of-interest	Signal my location	I arrived 	Notifying someone		
walking to stations	Signal my location	I am close to reach the __	Notifying someone	"Bus, train, station, mall, restaurant, Starbucks, Bar"	
nearby points-of-interest	Signal my location	I am standing at the __	Notifying someone	"Front door, gate, entrance, exit"	
nearby points-of-interest	Signal my location	I am almost there 	Notifying someone		
in-vehicle	Signal my location	I have one more stop before reaching there 	Notifying someone		
in-vehicle	Signal my location	I have __ more stops before reaching there 	Notifying someone	"One, two, three, four, five, six"	
in-vehicle	Signal my location	I am halfway home	Notifying someone		
in-vehicle	Signal my location	I am halfway to __	Notifying someone	"Last stop, mall, restaurant, work, school, bar, gym, city"	
nearby points-of-interest	Signal my location	I just left the __	Notifying someone	"Work, mall, restaurant, school, bar, gym, city"	
inside frequently visited locations	Signal my location	I am leaving the __ now	Notifying someone	"Work, mall, restaurant, school, bar, gym, city"	
nearby points-of-interest	Signal my location	"I am at *, where are you?"	Coordinating with someone		
waiting at stations	Signal my location	"I will be at __ shortly, where are you?"	Coordinating with someone	"Work, mall, restaurant, school, bar, gym, city"	
nearby points-of-interest	Signal my location	"I am close to home, where are you?"	Coordinating with someone		
nearby points-of-interest	Signal my location	"I am at *, when do you think you will arrive?"	Coordinating with someone		
waiting at stations	Signal my location	"I will be at __ shortly, when do you think you will arrive?"	Coordinating with someone	"Work, mall, restaurant, school, bar, gym, city"	
in-vehicle	Signal my location	"I am close to home, when do you think you will arrive?"	Coordinating with someone		
inside points-of-interest	Signal my location	I am at *. Can you give me a ride?	Requesting help		
inside points-of-interest	Signal my location	I am at *. Can you request a ride?	Requesting help		
inside points-of-interest	Signal my location	I am at *. Can you ask __ for a ride?	Requesting help	"The son, mom, your friend, dad, the daughter, your wife, your husband "	
nearby points-of-interest	Signal my location	"I am near the __, can you come and guide me in?"	Requesting help	"Mall, restaurant, bar, Starbucks"	
nearby points-of-interest	Signal my location	"I am at *, can you come and guide me in?"	Requesting help		
waiting at stations	Signal my location	"I will be at __ shortly, can you come and pick me up?"	Requesting help	"Work, mall, restaurant, school, bar, gym, city"	
waiting at stations	Signal my location	I will be there soon; can you ask __ to pick me up?	Requesting help	"The son, mom, your friend, dad, the daughter, your wife, your husband "	
waiting at stations	Signal my location	I will arrive to __ shortly; can you ask __ to pick me up?	Requesting help	"Work, mall, restaurant, school, bar, gym, city -- The son, mom, your friend, dad, the daughter, your wife, your husband "	
in-vehicle	Signal my location	I just left the __; do you want me to share the ride with you?	Offering help	"House, work, mall, restaurant, school, bar, gym, city "	
in-vehicle	Signal my location	I am close to your place; do you want me to share the ride with you?	Offering help		
in-vehicle	Signal my location	We just left the __; do you want us to give you a ride?	Offering help	"House, work, mall, restaurant, school, bar, gym, city "	
in-vehicle	Signal my location	We are close to your place; do you want us to give you a ride?	Offering help		
waiting at stations	Signal my location	I am still at __; can we reschedule our plan?	Rescheduling plans	"Work, school, home, bus stop, train station"	
nearby points-of-interest	Signal my location	I just left the __; do you want to reschedule our plan?	Rescheduling plans	"House, work, mall, restaurant, school, bar, gym, city "	
waiting at stations	Signal my location	I am still at __; can we cancel our plan?	Scheduling plans	"Work, school, home, bus stop, train station"	
nearby frequently visited locations	Signal my location	I just left the __; do you want to meet each other at the __?	Scheduling plans	"House, work, mall, restaurant, school, bar, gym, city --Front door, gate, entrance, exit"	
nearby points-of-interest	Signal my location	I am close to the __; do you want to meet each other at the __?	Scheduling plans	"House, work, mall, restaurant, school, bar, gym, city --Front door, gate, entrance, exit, train station, bus stop"	
nearby points-of-interest	Signal my location	I just left the __; do you want to meet each other at  __?	Scheduling plans	"House, work, mall, restaurant, school, bar, gym, city -- 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"	"05, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55"
waiting at stations	Signal my location	I am still at __; do you want to meet each other at  __?	Scheduling plans	"Work, school, home, bus stop, train station -- 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"	"05, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55"
waiting at stations	Signal my location	I am still at __; what time do you want to see each other? 	Scheduling plans	"Work, school, home, bus stop, train station"	
waiting at stations	Signal my location	I am still at __; where do you want to see each other? 	Scheduling plans		
nearby points-of-interest	Signal my location	I just left the __; where do you want to see each other? 	Scheduling plans	"House, work, mall, restaurant, school, bar, gym, city"	
in-vehicle	Signal my location	I am halfway to __; where do you want to see each other? 	Scheduling plans	"Last stop, the place, mall, restaurant, work, school, bar, gym, city"	
in-vehicle	Signal my location	I am halfway to __; do you want to meet each other at the __? 	Scheduling plans	"Last stop, the place, mall, restaurant, work, school, bar, gym, city -- Front door, gate, entrance, exit"	
nearby frequently visited locations	On my way	"My Uber is here, and I am headed to your way "	Notifying someone		
walking to stations	On my way	I am on my way home 	Notifying someone		
waiting at stations	On my way	"I am getting picked up, I am on my way"	Notifying someone		
waiting at stations	On my way	"The bus is ready to come, I am on my way "	Notifying someone		
waiting at stations	On my way	"The train is ready to come, I am on my way "	Notifying someone		
walking to stations	On my way	I am on my way to __	Notifying someone	"Work, airport, bus station, train station, supermarket, bar, library, restaurant, mall, vacation, dinner, lunch, breakfast, an appointment, a meeting"	
walking to stations	On my way	I am on my way 	Notifying someone		
walking to stations	On my way	I am on my way; I’ll be there in __	Notifying someone	"5 min, 10 min, 15 min, 20 min, 25 min, 30 min, 35 min, 40 min, 45 min, 50 min, 55 min, 1 hour"	
walking to stations	On my way	I am on my way; I’ll be there at __	Notifying someone	"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"	"05, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55"
in-vehicle	On my way	I am close to reach there	Notifying someone		
in-vehicle	On my way	I forgot something; I am on the way back to __	Notifying someone	"Work, school, airport, bus station, train station, supermarket, bar, library, restaurant, mall"	
in-vehicle	On my way	The plane is about to take off	Notifying someone		
inside points-of-interest	On my way	Boarding for departure	Notifying someone		
in-vehicle	On my way	I am on the way by __	Notifying someone	"Train, bus, Uber, paratransit, taxi, foot"	
in-vehicle	On my way	I am on my way with __	Notifying someone	"Friend, family, dog, son, dad, mom, daughter, wife, husband"	
waiting at stations	On my way	The job is done! I am on the way back to __	Notifying someone	"Town, home"	
nearby points-of-interest	On my way	I am leaving for __	Notifying someone	"Work, school, class, meeting, appointment"	
in-vehicle	On my way	I am on my way to meet __	Notifying someone	"Friends, colleagues, family "	
in-vehicle	On my way	I am halfway there	Notifying someone		
in-vehicle	On my way	"I am still on the way, I got stuck in traffic"	Notifying someone		
in-vehicle	On my way	"I am still on the __, it had delay"	Notifying someone	"Bus, train, uber, taxi"	
in-vehicle	On my way	"I am on my way, can you come outside and help?"	Requesting help		
in-vehicle	On my way	"I am on my way, can you come to __ and guide me in?"	Requesting help	"train station, bus stop "	
in-vehicle	On my way	"I am on my way, can you ask __ to come outside and help?"	Requesting help	"Someone, the son, mom, your friend, dad, the daughter, your wife, your husband "	
in-vehicle	On my way	I am on the way and will be at the __ in __ ; can you ask __ to come and guide me in?	Requesting help	"train station, bus stop -- 5 min, 10 min, 15 min, 20 min, 25 min, 30 min, 35 min, 40 min, 45 min, 50 min, 55 min, 1 hour -- train station, bus stop "	
in-vehicle	On my way	I am on the way and will be there in __; can you ask __ to come outside and help?	Requesting help	"5 min, 10 min, 15 min, 20 min, 25 min, 30 min, 35 min, 40 min, 45 min, 50 min, 55 min, 1 hour -- Someone, the son, mom, your friend, dad, the daughter, your wife, your husband "	
in-vehicle	On my way	I am on the way and will be at the __ in __ ; can you come and guide me in?	Requesting help	"train station, bus stop -- 5 min, 10 min, 15 min, 20 min, 25 min, 30 min, 35 min, 40 min, 45 min, 50 min, 55 min, 1 hour  "	
in-vehicle	On my way	I am on the way and will be there in __; can you come outside and help?	Requesting help	"5 min, 10 min, 15 min, 20 min, 25 min, 30 min, 35 min, 40 min, 45 min, 50 min, 55 min, 1 hour"	
in-vehicle	On my way	I am on the way and will be at the __ in __ ; can you pick me up?	Requesting help	"train station, bus stop -- 5 min, 10 min, 15 min, 20 min, 25 min, 30 min, 35 min, 40 min, 45 min, 50 min, 55 min, 1 hour  "	
in-vehicle	On my way	"I am on my way, can you ask __ to come to __ and guide me in?"	Requesting help	"Someone, the son, mom, your friend, dad, the daughter, your wife, your husband – train station, bus stop "	
in-vehicle	On my way	I am on the way and will be there at __; can you come outside and help?	Requesting help	"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"	"05, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55"
in-vehicle	On my way	I am on the way and will be at the __ at __ ; can you come and guide me in?	Requesting help	"train station, bus stop -- 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"	"05, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55"
in-vehicle	On my way	I am on the way and will be there at __; can you ask __ to come outside and help?	Requesting help	"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12 -- Someone, the son, mom, your friend, dad, the daughter, your wife, your husband "	"05, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55"
in-vehicle	On my way	I am on the way and will be at the __ at __; can you ask __ to come and guide me in?	Requesting help	"train station, bus stop -- 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12 -- Someone, the son, mom, your friend, dad, the daughter, your wife, your husband "	"05, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55"
in-vehicle	On my way	I am on the way and will be at the __ at __; can you ask __ to pick me up?	Requesting help	"train station, bus stop -- 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12 -- Someone, the son, mom, your friend, dad, the daughter, your wife, your husband "	"05, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55"
in-vehicle	On my way	I am on the way and will be there in __; can you pick me up?	Requesting help	"5 min, 10 min, 15 min, 20 min, 25 min, 30 min, 35 min, 40 min, 45 min, 50 min, 55 min, 1 hour"	
in-vehicle	On my way	I am on the way and will be there in __; can you ask __ to pick me up?	Requesting help	"5 min, 10 min, 15 min, 20 min, 25 min, 30 min, 35 min, 40 min, 45 min, 50 min, 55 min, 1 hour -- Someone, the son, mom, your friend, dad, the daughter, your wife, your husband "	
in-vehicle	On my way	I am on the way and will be at the __ at __ ; can you pick me up?	Requesting help	"train station, bus stop -- 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"	"05, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55"
in-vehicle	On my way	"I am on my way to __, can you pick me up?"	Requesting help	"Train station, bus stop, work, school, campus, library"	
walking to stations	On my way	I am on the way and will be there at __; can you ask __ to pick me up?	Requesting help	"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12 -- Someone, the son, mom, your friend, dad, the daughter, your wife, your husband "	"05, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55"
walking to stations	On my way	I am on the way and will be there at __; can you pick me up?	Requesting help	"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"	"05, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55"
in-vehicle	On my way	I am on the way to home. Do you have any plan for __?	Scheduling plans	"Tonight, dinner, breakfast, lunch, brunch"	
in-vehicle	On my way	I am on the way to home. Can we cancel our plan?	Scheduling plans		
in-vehicle	On my way	I am on the way to __. Do you want to join me?	Scheduling plans	"Cinema, park, restaurant, bar, Starbucks, gym, mall, campus, school, library "	
in-vehicle	On my way	I am on the way to __. Can we reschedule our plan?	Rescheduling plans	"Home, work, school, campus, library, gym "	
in-vehicle	On my way	I am still on the way. Can we reschedule our plan?	Rescheduling plans		
in-vehicle	On my way	I am still on the way to __. Can we reschedule our plan?	Rescheduling plans	"Work, school, gym, Cinema, park, restaurant, bar, Starbucks, mall, campus, library "	
in-vehicle	On my way	"I am on the way with __, do you want to share the ride?"	Offering help	"Uber, Lyft, taxi, car"	
in-vehicle	On my way	"I am on the way with my __, do you want us to pick you up?"	Offering help	"friend, family, son, daughter, wife, husband, colleague"	
in-vehicle	On my way	I am on my way; when do you think you will arrive?	Coordinating with someone		
in-vehicle	On my way	"I am on the way to the __, when do you think you will arrive?"	Coordinating with someone	"gym, Cinema, park, restaurant, bar, Starbucks, mall, campus, library "	
in-vehicle	On my way	"I am on the way to the __, where are you?"	Coordinating with someone	"gym, Cinema, park, restaurant, bar, Starbucks, mall, campus, library "	
in-vehicle	On my way	"I am on the way to the __, have you arrived yet?"	Coordinating with someone	"gym, Cinema, park, restaurant, bar, Starbucks, mall, campus, library "	
walking to stations	On my way	I am on my way; have you arrived yet?	Coordinating with someone		
nearby points-of-interest	Get to a location	I got lost	Notifying someone		
nearby points-of-interest	Get to a location	I am here and need help	Notifying someone		
walking to stations	Get to a location	I can’t tell exactly where I am 	Notifying someone		
nearby points-of-interest	Get to a location	I can’t find you	Notifying someone		
nearby points-of-interest	Get to a location	__ can’t find you	Notifying someone	"The son, mom, my friend, dad, the daughter, my wife, my husband, my colleague, the speaker, our guest"	
nearby frequently visited locations	Get to a location	I can’t find my way back home 	Notifying someone		
nearby frequently visited locations	Get to a location	I can’t find my way back; I got lost	Notifying someone		
nearby frequently visited locations	Get to a location	I am lost in the neighborhood 	Notifying someone		
nearby points-of-interest	Get to a location	I got lost in *	Notifying someone		
nearby points-of-interest	Get to a location	I can’t find the __	Notifying someone	"Entrance, restaurant, place, mall, gym, bar, house, exit, building, hotel, room"	
walking to stations	Get to a location	Heavy __ blocked my way; I am lost	Notifying someone	"Rain, snow"	
nearby points-of-interest	Get to a location	I have a __	Notifying someone	"Cane, guided dog, cane and guided dog, cane and sunglass"	
inside points-of-interest	Get to a location	It’s almost __ I can’t find my way back	Notifying someone	"5 min, 10 min, 15 min"	
nearby points-of-interest	Get to a location	"I got lost, could you please help?"	Requesting help		
nearby points-of-interest	Get to a location	I am here but can’t find the door. Can someone come out and help me	Requesting help		
nearby points-of-interest	Get to a location	I can’t find the __; can someone come and help	Requesting help	"Entrance, restaurant, place, mall, gym, bar, house, exit, building, hotel, room"	
nearby points-of-interest	Get to a location	"I am close, come and find me "	Requesting help		
nearby points-of-interest	Get to a location	"According to my phone, I am at *, come and find me"	Requesting help		
inside points-of-interest	Get to a location	I am in the hallway; can somebody come and get me there?	Requesting help		
nearby points-of-interest	Get to a location	"I have a **, can you come and find me?"	Requesting help		
nearby points-of-interest	Get to a location	"I am standing at *, can you come and guide me in?"	Requesting help		
inside points-of-interest	Get to a location	It’s almost __ I can’t find my way back; can you come and help	Requesting help	"5 min, 10 min, 15 min"	
nearby points-of-interest	Get to a location	I arrived; come outside and get me in	Requesting help		
nearby points-of-interest	Get to a location	I am lost. Can you ask someone to come and help me?	Requesting help		
nearby points-of-interest	Get to a location	I am standing next to the __; come and find me 	Requesting help	"Wall, door, tree, car, desk, chair"	
nearby points-of-interest	Get to a location	I have a __; could you find me?	Requesting help	"Cane, guided dog, cane and guided dog, cane and sunglass"	
nearby points-of-interest	Get to a location	"I will be there in __, can you come out and find me?"	Requesting help	"5 min, 10 min, 15 min, 20 min, 25 min, 30 min"	
nearby points-of-interest	Get to a location	"I will be there in __, can you ask someone to come out and find me?"	Requesting help	"5 min, 10 min, 15 min, 20 min, 25 min, 30 min"	
nearby points-of-interest	Get to a location	"I will be there at __, can you stay out to guide me in?"	Requesting help	"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"	"05, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55"
nearby points-of-interest	Get to a location	"__ will be there in __, can you come out and find them?"	Requesting help	"the son, mom, my friend, dad, the daughter, my wife, my husband, the speaker, our guest -- 5 min, 10 min, 15 min, 20 min, 25 min, 30 min"	
nearby points-of-interest	Get to a location	"__ will be there in __, can you ask someone to come out and find them?"	Requesting help	"the son, mom, my friend, dad, the daughter, my wife, my husband, the speaker, our guest -- 5 min, 10 min, 15 min, 20 min, 25 min, 30 min"	
nearby points-of-interest	Get to a location	"__ will be there at __, can you stay out to guide them in?"	Requesting help	"the son, mom, my friend, dad, the daughter, my wife, my husband, the speaker, our guest -- 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"	"05, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55"
inside points-of-interest	Get to a location	When you arrive do you want me to come and guide you in?	Offering help		
inside points-of-interest	Get to a location	"When you arrive to the __, do you want me to guide you in?"	Offering help	"Bus stop, train station, restaurant, bar, gym, school, work, campus, hospital, building "	
nearby points-of-interest	Get to a location	Are you here yet? I need help to get to the __	Coordinating with someone	"Place, restaurant, bar, gym, school, work, campus, hospital, building "	
nearby points-of-interest	Get to a location	Are you here yet? __ needs help to get to the __	Coordinating with someone	"the son, mom, my friend, dad, the daughter, my wife, my husband, the speaker, our guest -- Place, restaurant, bar, gym, school, work, campus, hospital, building "	
nearby points-of-interest	Get to a location	Where are you? I need help to get to the __	Coordinating with someone	"Place, restaurant, bar, gym, school, work, campus, hospital, building "	
nearby points-of-interest	Get to a location	Where are you? __ needs help to get to the __	Coordinating with someone	"the son, mom, my friend, dad, the daughter, my wife, my husband, the speaker, our guest -- Place, restaurant, bar, gym, school, work, campus, hospital, building "	
nearby points-of-interest	Get to a location	What time are you going to arrive? I need help to get to the __	Coordinating with someone	"Bus stop, train station, restaurant, bar, gym, school, work, campus, hospital, building "	
nearby points-of-interest	Get to a location	What time are you going to arrive? __ needs help to get to the __	Coordinating with someone	"Bus stop, train station, restaurant, bar, gym, school, work, campus, hospital, building -- the son, mom, my friend, dad, the daughter, my wife, my husband, the speaker, our guest"	
nearby points-of-interest	Get to a location	"Do you want to meet each other outside? So, I can guide you in "	Scheduling plans		
nearby points-of-interest	Get to a location	"Where do you want to meet each other? So, I can help you to get to the place "	Scheduling plans		
nearby points-of-interest	Get to a location	"Do you want to meet each other at the __ ? So, I can guide you in "	Scheduling plans	"Bus stop, train station"	
in-vehicle	Shopping	I am going to shopping 	Notifying someone		
in-vehicle	Shopping	__ is going to shopping 	Notifying someone	"The son, mom, my friend, dad, the daughter, my wife, my husband, my colleague"	
in-vehicle	Shopping	"I am going to __, do you want me to pick anything?"	Notifying someone	"Walmart, target, Costco, Starbucks, supermarket, mall"	
in-vehicle	Shopping	I am going for grocery; do you need anything? 	Notifying someone		
inside points-of-interest	Shopping	"I am in the *, do you need anything?"	Notifying someone		
in-vehicle	Shopping	Should I pick anything on the way?	Notifying someone		
in-vehicle	Shopping	I am going to shopping with my __	Notifying someone	"Friend, family, dog, son, dad, mom, daughter, wife, husband"	
in-vehicle	Shopping	I am going to shopping by __	Notifying someone	"Myself, bus, train, Uber, Taxi, car, foot"	
nearby points-of-interest	Shopping	I went to shopping by __	Notifying someone		
in-vehicle	Shopping	__ is going to shopping by __	Notifying someone	"The son, mom, my friend, dad, the daughter, my wife, my husband, my colleague -- bus, train, Uber, Taxi, car, foot"	
nearby points-of-interest	Shopping	__ went to shopping by __	Notifying someone		
waiting at stations	Shopping	After __ I’ll go for shopping 	Notifying someone	"Work, school, lunch, breakfast, dinner, gym"	
waiting at stations	Shopping	I will go to shopping in __	Notifying someone	"5 min, 10 min, 15 min, 20 min, 25 min, 30 min, 35 min, 40 min, 45 min, 50 min, 55 min, 1 hour, 1 hour 15 min, 1 hour and a half, 2 hours, 2 hours and a half, 3 hours"	
